What don't we know about hotel rooms?	Hotels; What Don't People Know About X?; 	and should.
What information would you like to know, if you were about to share a Hotel Room with somebody you don't know?	Survey Questions; Social Advice; 	
You are a spy tracking an individual who is staying in a high end hotel. You need to record all audio from his room for the duration of his stay. You have his name but you do not know which room is his. What do you do?	Hypothetical Spying Scenarios and Tradecraft; Espionage and Spying; Spies; Tradecraft; 	
What hotel room on what hotel at what location has the most beautiful view in the world?	Hotel Recommendations; 	In other words, what hotel room has the most stunningly beautiful view?
What is the one thing you do not want to see in your hotel room?	Tourism; Business Travel; Consumer Behavior; Hotels; Travel Hacks; Hotel Management; Travel; 	Gideon Bible does not count
What is a normal tip to leave in a hotel room in the US if any?	Hotels; Manners and Etiquette; Travel; Social Advice; The United States of America; 	
What are some ways to negotiate hotel room prices?	Negotiation; Hotels; Travel Hacks; Travel; 	Besides bundles with flights and whatnot.
What is a recommended travel friendly humidifier for hotel rooms?	Humidifiers; Hotels; Travel; 	
What stops people at hotels from charging to another room (not their own)?	Fraud; Hotels; 	The hotel's bars and restaurants typically have the option to charge it to your room, but they never check to confirm that it's your room.
What technology based amenities would you like in hotel rooms?	Hotels; Technology Trends; Technology; TechCrunch; International Travel; Survey Questions; Travel; 	
What are hotel rooms with two single beds called?	Hotels; 	
What reasons are there for a hotel to say that they don't have any rooms available, but a third party on behalf of the hotel does?	Booking.com; Reservations; Hotels; 	I recently tried to make a reservation of a single room online. I tried twice directly with the hotel and was sent an e-mail twice saying they didn't have any available.  I then called them up to check and was told the same thing; for the period I was looking for they had no single rooms available.  I then went on Booking.com [ http://Booking.com ] and checked the same hotel and they had 6 single rooms available. I thus booked a room through them. Weirdly they charged the exactly same amount as if I'd had booked directly with the hotel (£395 in total).  So assuming Booking.com [ http://Booking.com ] take a cut, that means the hotel in question must be earning less money, even though I was more than happy to book through them directly.  What possible reasons are there for the system to work like this?
What is the first thing hotel guests think of when entering their hotel room?	Travel; Hotels; Hospitality; 	
How do hotels assign rooms?	Hotel Management; Tourism; Hotels; 	Obviously there are factors such as upgrading frequent guests or those with program status, smoking vs. non. Do hotels try to wear-level rooms? Do they try to consolidate rooms on the same floors when less than full, or do they spread guests out?
Why is there a bible in my hotel room?	Religion; Evangelism; Traditions; 	
What are some good hotel room booking services equivalent to OpenTable?	Reservation Services; Booking Systems; Electronic Reservation Booking (ERB); OpenTable; 	
What are the chances of recovering items left in a distant hotel room?	Hotels; Losing and Finding Things; 	Is it usually possible to get them back without going back to the hotel?
What are some good hotels in NYC where rooms have a mirrored ceiling?	Hotel Recommendations; New York City; 	So that I can spot bedbugs without lifting my head, of course.
What's the best/cheapest site to get a hotel room for day-of booking?	Hotels; Travel; Websites; Hotwire; 	I've heard Hotwire is good up til 3pm day of but prices don't seem to change that much.
What would happen if I accidentally left behind a $50 bill in my hotel room?	Money; Hotels; Social and Behavioral Norms; Accidents; 	
What kinds of equipment do - or would - you like to see in a hotel exercise/fitness room?	Travel; Hotel Management; Fitness; Working Out; 	And which hotels have the best?
